filename	title	author	year	genre	brow
k00300000738.txt	Der siebenarmige Tod	Tenkrat, Fritz	1978	horror	low
k00300000739.txt	Das Mädchen von Atlantis	Rellergerd, Helmut	1978	horror	low
k00300000740.txt	Das Dämonenauge	Rellergerd, Helmut	1978	horror	low
k00300000741.txt	Im Landhaus der Schrecken	Tenkrat, Fritz	1978	horror	low
k00300000744.txt	Der unheimliche Mönch	Rellergerd, Helmut	1978	horror	low
k00300000745.txt	Das Geheimnis des Spiegels	Tenkrat, Fritz	1978	horror	low
k00300000746.txt	Maringo, der Höllenreiter	Rellergerd, Helmut	1979	horror	low
k00300000747.txt	Insel der Seelenlosen	Tenkrat, Fritz	1979	horror	low
k00300000758.txt	Die Ameisen greifen an	Rellergerd, Helmut	1979	horror	low
k00300000759.txt	Das Amulett des Sonnengottes	Wunderer, Richard	1979	horror	low
k00300000760.txt	Der Totenbeschwörer	Rellergerd, Helmut	1979	horror	low
k00300000761.txt	Der Vampir von Manhattan	Appel, Walter	1979	horror	low
k00300000763.txt	Die Werwölfe von Wien	Tenkrat, Fritz	1979	horror	low
k00300000764.txt	Die Dämonenschmiede	Wunderer, Richard	1979	horror	low
k00300000767.txt	Assungas Zaubermantel	Rellergerd, Helmut	1991	horror	low
k00300000769.txt	Die Nacht der bösen Frauen	Rellergerd, Helmut	1991	horror	low
k00300000776.txt	Die Mafia lädt zum Sterben ein	Cotton, Jerry	1963	crime	low
k00300000778.txt	Mit Blut bezahlt	Cotton, Jerry	1963	crime	low
k00300000779.txt	Verwischte Spuren	Cotton, Jerry	1963	crime	low
k00300000781.txt	Tödliche Verstrickungen	Cotton, Jerry	1963	crime	low
k00300000782.txt	Der Feind im Dunklen	Cotton, Jerry	1963	crime	low
k00300000786.txt	Bankraub mit Knalleffekt	Cotton, Jerry	1963	crime	low
k00300000788.txt	Tauchen in den Tod	Cotton, Jerry	0	crime	low
k00300000790.txt	Die Beute für den Boss	Cotton, Jerry	0	crime	low
k00300000796.txt	Der Tod an Bord	Cotton, Jerry	0	crime	low
k00300000799.txt	24 Stunden für McKing	Cotton, Jerry	0	crime	low
k00300000800.txt	Der Tod im Fernsehstudio	Cotton, Jerry	0	crime	low
k00300000801.txt	Der Feind im Dunkeln	Cotton, Jerry	0	crime	low
k00300000803.txt	Mordnacht in Manhattan	Cotton, Jerry	0	crime	low
k00300000807.txt	Der eiskalte Tod	Cotton, Jerry	0	crime	low
k00300000809.txt	Klinik der grausamen Frauen	Cotton, Jerry	0	crime	low
k00300000811.txt	Du musst sterben, Lady!	Cotton, Jerry	0	crime	low
k00300000813.txt	In der siebten Hölle	Cotton, Jerry	0	crime	low
k00300000814.txt	Das siebte Opfer	Cotton, Jerry	0	crime	low
k00300000815.txt	Todesspur der Rache	Cotton, Jerry	0	crime	low
k00300000816.txt	Blutgeld	Cotton, Jerry	0	crime	low
k00300000843.txt	Auf der Jacht des italienischen Millionärs	Philips, Sabrina	2011	love	low
k00300000844.txt	Sag Ja, ich will!	Connelly, Stacy	2011	love	low
k00300000847.txt	Keine Chance für die Liebe?	Mortimer, Charlotte	2011	love	low
k00300000852.txt	Mit Prinz Charming auf dem Traumschiff	McArthur, Fiona	2013	love	low
k00300000856.txt	Verlieb dich nicht in deinen Boss!	Darcy, Emma	2014	love	low
k00300000866.txt	Das heiße Herz der Wüstenprinzessin	Carol, Marinelli	2015	love	low
k00300000868.txt	Im Bann des griechischen Milliardärs	Sharon, Kendrick	2016	love	low
