Livre	NOUN	livre
poitrine	NOUN	poitrine
dont	PRON	dont
elle	PRON	elle
était	VERB	être
atteinte	VERB	atteindre
depuis	ADP	depuis
longtemps	ADV	longtemps
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ils	PRON	il
n'	ADV	ne
avaient	VERB	avoir
point	ADV	point
d'	ADP	de
enfants	NOUN	enfant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Que	CONJ	que
se	PRON	se
passa-t-il	VERB	passa-t-il
ensuite	ADV	ensuite
dans	ADP	dans
la	DET	le
destinée	NOUN	destinée
de	ADP	de
M	NOUN	m
.	PUNCT	.
Myriel	NOUN	myriel
?	PUNCT	?
<EOS>	<EOS>	<EOS>
L'	DET	le
écroulement	NOUN	écroulement
de	ADP	de
l'	DET	le
ancienne	ADJ	ancien
société	NOUN	société
française	ADJ	français
,	PUNCT	,
la	DET	le
chute	NOUN	chute
de	ADP	de
sa	PRON	son
propre	ADJ	propre
famille	NOUN	famille
,	PUNCT	,
les	DET	le
tragiques	ADJ	tragique
spectacles	NOUN	spectacle
de	ADP	de
93	NUM	@card@
,	PUNCT	,
plus	ADV	plus
effrayants	ADJ	effrayant
encore	ADV	encore
peut-être	ADV	peut-être
pour	ADP	pour
les	DET	le
émigrés	NOUN	émigré
qui	PRON	qui
les	PRON	la|le
voyaient	VERB	voir
de	ADP	de
loin	ADV	loin
avec	ADP	avec
le	DET	le
grossissement	NOUN	grossissement
de	ADP	de
l'	DET	le
épouvante	NOUN	épouvante
,	PUNCT	,
firent	VERB	faire
-ils	PRON	il
germer	VERB	germer
en	ADP	en
lui	PRON	lui
des	ADP	du
idées	NOUN	idée
de	ADP	de
renoncement	NOUN	renoncement
et	CONJ	et
de	ADP	de
solitude	NOUN	solitude
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Fut-il	NOUN	fut-il
,	PUNCT	,
au	ADP	au
milieu	NOUN	milieu
d'	ADP	de
une	NUM	un
de	ADP	de
ces	PRON	ce
distractions	NOUN	distraction
et	CONJ	et
de	ADP	de
ces	PRON	ce
affections	NOUN	affection
qui	PRON	qui
occupaient	VERB	occuper
sa	PRON	son
vie	NOUN	vie
,	PUNCT	,
subitement	ADV	subitement
atteint	VERB	atteindre
d'	ADP	de
un	NUM	un
de	ADP	de
ces	PRON	ce
coups	NOUN	coup
mystérieux	ADJ	mystérieux
et	CONJ	et
terribles	ADJ	terrible
qui	PRON	qui
viennent	VERB	venir
quelquefois	ADV	quelquefois
renverser	VERB	renverser
,	PUNCT	,
en	ADP	en
le	DET	le
frappant	VERB	frapper
au	ADP	au
cœur	NOUN	cœur
,	PUNCT	,
l'	DET	le
homme	NOUN	homme
que	CONJ	que
les	DET	le
catastrophes	NOUN	catastrophe
publiques	ADJ	publique
n'	ADV	ne
ébranleraient	VERB	ébranler
pas	ADV	pas
en	ADP	en
le	DET	le
frappant	VERB	frapper
dans	ADP	dans
son	PRON	son
existence	NOUN	existence
et	CONJ	et
dans	ADP	dans
sa	PRON	son
fortune	NOUN	fortune
?	PUNCT	?
<EOS>	<EOS>	<EOS>
Nul	ADJ	nul
n'	ADV	ne
aurait	VERB	avoir
pu	VERB	pouvoir
le	PRON	le
dire	VERB	dire
;	PUNCT	;
tout	PRON	tout
ce	PRON	ce
qu'	PRON	que
on	PRON	on
savait	VERB	savoir
,	PUNCT	,
c'	PRON	ce
est	VERB	être
que	CONJ	que
,	PUNCT	,
lorsqu'	CONJ	lorsque
il	PRON	il
revint	VERB	revenir
d'	ADP	de
Italie	NOUN	italie
,	PUNCT	,
il	PRON	il
était	VERB	être
prêtre	NOUN	prêtre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
En	ADP	en
1804	NUM	@card@
,	PUNCT	,
M	VERB	m
.	PUNCT	.
Myriel	NOUN	myriel
était	VERB	être
curé	VERB	curer
de	ADP	de
B	NOUN	b
.	PUNCT	.
<EOS>	<EOS>	<EOS>
(	PUNCT	(
Brignolles	NOUN	brignolles
)	PUNCT	)
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
était	VERB	être
déjà	ADV	déjà
vieux	ADJ	vieux
,	PUNCT	,
et	CONJ	et
vivait	VERB	vivre
dans	ADP	dans
une	DET	un
retraite	NOUN	retraite
profonde	ADJ	profond
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Vers	ADP	vers
l'	DET	le
époque	NOUN	époque
du	ADP	du
couronnement	NOUN	couronnement
,	PUNCT	,
une	DET	un
petite	ADJ	petit
affaire	NOUN	affaire
de	ADP	de
sa	PRON	son
cure	NOUN	cure
,	PUNCT	,
on	PRON	on
ne	ADV	ne
sait	VERB	savoir
plus	ADV	plus
trop	ADV	trop
quoi	PRON	quoi
,	PUNCT	,
l'	PRON	la|le
amena	VERB	amener
à	ADP	à
Paris	NOUN	paris
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Entre	ADP	entre
autres	ADJ	autre
personnes	NOUN	personne
puissantes	ADJ	puissant
,	PUNCT	,
il	PRON	il
alla	VERB	aller
solliciter	VERB	solliciter
pour	ADP	pour
ses	PRON	son
paroissiens	NOUN	paroissien
M	ADJ	m
.	PUNCT	.
le	DET	le
cardinal	ADJ	cardinal
Fesch	NOUN	fesch
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Un	DET	un
jour	NOUN	jour
que	CONJ	que
l'	DET	le
empereur	NOUN	empereur
était	VERB	être
venu	VERB	venir
faire	VERB	faire
visite	NOUN	visite
à	ADP	à
son	PRON	son
oncle	NOUN	oncle
,	PUNCT	,
le	DET	le
digne	ADJ	digne
curé	NOUN	curé
,	PUNCT	,
qui	PRON	qui
attendait	VERB	attendre
dans	ADP	dans
l'	DET	le
antichambre	NOUN	antichambre
,	PUNCT	,
se	PRON	se
trouva	VERB	trouver
sur	ADP	sur
le	DET	le
passage	NOUN	passage
de	ADP	de
sa	PRON	son
majesté	NOUN	majesté
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Napoléon	NOUN	napoléon
,	PUNCT	,
se	PRON	se
voyant	VERB	voir
regardé	VERB	regarder
avec	ADP	avec
une	DET	un
certaine	ADJ	certain
curiosité	NOUN	curiosité
par	ADP	par
ce	PRON	ce
vieillard	NOUN	vieillard
,	PUNCT	,
se	PRON	se
retourna	VERB	retourner
,	PUNCT	,
et	CONJ	et
dit	VERB	dire
brusquement	ADV	brusquement
:	PUNCT	:
--	PUNCT	--
Quel	PRON	quel
est	VERB	être
ce	PRON	ce
bonhomme	NOUN	bonhomme
qui	PRON	qui
me	PRON	me
regarde	VERB	regarder
?	PUNCT	?
<EOS>	<EOS>	<EOS>
--	PUNCT	--
Sire	NOUN	sire
,	PUNCT	,
dit	VERB	dire
M	VERB	m
.	PUNCT	.
Myriel	NOUN	myriel
,	PUNCT	,
vous	PRON	vous
regardez	VERB	regarder
un	DET	un
bonhomme	NOUN	bonhomme
,	PUNCT	,
et	CONJ	et
moi	PRON	moi
je	PRON	je
regarde	VERB	regarder
un	DET	un
grand	ADJ	grand
homme	NOUN	homme
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Chacun	PRON	chacun
de	ADP	de
nous	PRON	nous
peut	VERB	pouvoir
profiter	VERB	profiter
.	PUNCT	.
<EOS>	<EOS>	<EOS>
L'	DET	le
empereur	NOUN	empereur
,	PUNCT	,
le	DET	le
soir	NOUN	soir
même	ADJ	même
,	PUNCT	,
demanda	VERB	demander
au	ADP	au
cardinal	NOUN	cardinal
le	DET	le
nom	NOUN	nom
de	ADP	de
ce	PRON	ce
curé	NOUN	curé
,	PUNCT	,
et	CONJ	et
quelque	PRON	quelque
temps	NOUN	temps
après	ADP	après
M	NOUN	m
.	PUNCT	.
Myriel	NOUN	myriel
fut	VERB	être
tout	ADV	tout
surpris	VERB	surprendre
