Notice	NOUN	notice
un	DET	un
grêle	ADJ	grêle
jeune	ADJ	jeune
homme	NOUN	homme
de	ADP	de
trente	NUM	trente
ans	NOUN	an
,	PUNCT	,
anémique	ADJ	anémique
et	CONJ	et
nerveux	ADJ	nerveux
,	PUNCT	,
aux	ADP	au
joues	NOUN	joue
caves	ADJ	cave
,	PUNCT	,
aux	ADP	au
yeux	NOUN	œil
d'	ADP	de
un	DET	un
bleu	ADJ	bleu
froid	NOUN	froid
d'	ADP	de
acier	NOUN	acier
,	PUNCT	,
au	ADP	au
nez	NOUN	nez
éventé	VERB	éventer
et	CONJ	et
pourtant	ADV	pourtant
droit	ADJ	droit
,	PUNCT	,
aux	ADP	au
mains	NOUN	main
sèches	ADJ	sèche
et	CONJ	et
fluettes	ADJ	fluet
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Par	ADP	par
un	DET	un
singulier	ADJ	singulier
phénomène	NOUN	phénomène
d'	ADP	de
atavisme	NOUN	atavisme
,	PUNCT	,
le	DET	le
dernier	ADJ	dernier
descendant	NOUN	descendant
ressemblait	VERB	ressembler
à	ADP	à
l'	DET	le
antique	ADJ	antique
aïeul	NOUN	aïeul
,	PUNCT	,
au	ADP	au
mignon	NOUN	mignon
,	PUNCT	,
dont	PRON	dont
il	PRON	il
avait	VERB	avoir
la	DET	le
barbe	NOUN	barbe
en	ADP	en
pointe	NOUN	pointe
d'	ADP	de
un	DET	un
blond	NOUN	blond
extraordinairement	ADV	extraordinairement
pâle	ADJ	pâle
et	CONJ	et
l'	DET	le
expression	NOUN	expression
ambiguë	ADJ	ambiguë
,	PUNCT	,
tout	ADV	tout
à	ADP	à
la	DET	le
fois	NOUN	fois
lasse	ADJ	las
et	CONJ	et
habile	ADJ	habile
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Son	PRON	son
enfance	NOUN	enfance
avait	VERB	avoir
été	VERB	être
funèbre	ADJ	funèbre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Menacée	VERB	menacer
de	ADP	de
scrofules	NOUN	scrofule
,	PUNCT	,
accablée	VERB	accabler
par	ADP	par
d'	ADP	de
opiniâtres	ADJ	opiniâtre
fièvres	NOUN	fièvre
,	PUNCT	,
elle	PRON	elle
parvint	VERB	parvenir
cependant	ADV	cependant
,	PUNCT	,
à	ADP	à
l'	DET	le
aide	NOUN	aide
de	ADP	de
grand	ADJ	grand
air	NOUN	air
et	CONJ	et
de	ADP	de
soins	NOUN	soin
,	PUNCT	,
à	ADP	à
franchir	VERB	franchir
les	DET	le
brisants	NOUN	brisant
de	ADP	de
la	DET	le
nubilité	NOUN	nubilité
,	PUNCT	,
et	CONJ	et
alors	ADV	alors
les	DET	le
nerfs	NOUN	nerf
prirent	VERB	prendre
le	DET	le
dessus	NOUN	dessus
,	PUNCT	,
matèrent	VERB	mater
les	DET	le
langueurs	NOUN	langueur
et	CONJ	et
les	DET	le
abandons	NOUN	abandon
de	ADP	de
la	DET	le
chlorose	NOUN	chlorose
,	PUNCT	,
menèrent	VERB	mener
jusqu'	ADP	jusque
à	ADP	à
leur	PRON	leur
entier	ADJ	entier
développement	NOUN	développement
les	DET	le
progressions	NOUN	progression
de	ADP	de
la	DET	le
croissance	NOUN	croissance
.	PUNCT	.
<EOS>	<EOS>	<EOS>
La	DET	le
mère	NOUN	mère
,	PUNCT	,
une	DET	un
longue	ADJ	longue
femme	NOUN	femme
,	PUNCT	,
silencieuse	ADJ	silencieux
et	CONJ	et
blanche	ADJ	blanc
,	PUNCT	,
mourut	VERB	mourir
d'	ADP	de
épuisement	NOUN	épuisement
;	PUNCT	;
à	ADP	à
son	PRON	son
tour	NOUN	tour
le	DET	le
père	NOUN	père
décéda	VERB	décéder
d'	ADP	de
une	DET	un
maladie	NOUN	maladie
vague	ADJ	vague
;	PUNCT	;
des	ADP	du
Esseintes	NOUN	esseintes
atteignait	VERB	atteindre
alors	ADV	alors
sa	PRON	son
dix-septième	ADJ	dix-septième
année	NOUN	année
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
