Préface	NOUN	préface
jouissances	NOUN	jouissance
suprêmes	ADJ	suprême
loin	ADV	loin
du	ADP	du
monde	NOUN	monde
civilisé	VERB	civiliser
qu'	CONJ	que
il	PRON	il
ne	ADV	ne
voulait	VERB	vouloir
pas	ADV	pas
comprendre	VERB	comprendre
,	PUNCT	,
M	VERB	m
.	PUNCT	.
Aimard	NOUN	aimard
partit	VERB	partir
avec	ADP	avec
l'	DET	le
intention	NOUN	intention
de	ADP	de
ne	ADV	ne
plus	ADV	plus
revenir	VERB	revenir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Libre	ADJ	libre
de	ADP	de
tout	PRON	tout
lien	NOUN	lien
,	PUNCT	,
de	ADP	de
toute	PRON	tout
affection	NOUN	affection
,	PUNCT	,
ne	ADV	ne
laissant	VERB	laisser
derrière	ADP	derrière
lui	PRON	lui
ni	CONJ	ni
amitiés	NOUN	amitié
ni	CONJ	ni
haines	NOUN	haine
,	PUNCT	,
le	DET	le
jeune	ADJ	jeune
aventurier	NOUN	aventurier
était	VERB	être
dans	ADP	dans
les	DET	le
meilleures	ADJ	meilleur
conditions	NOUN	condition
possibles	ADJ	possible
pour	ADP	pour
mener	VERB	mener
la	DET	le
vie	NOUN	vie
étrange	ADJ	étrange
qui	PRON	qui
allait	VERB	aller
commencer	VERB	commencer
pour	ADP	pour
lui	PRON	lui
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Aussi	ADV	aussi
,	PUNCT	,
avec	ADP	avec
quel	PRON	quel
bonheur	NOUN	bonheur
il	PRON	il
posa	VERB	poser
le	DET	le
pied	NOUN	pied
en	ADP	en
Amérique	NOUN	amérique
et	CONJ	et
il	PRON	il
s'	PRON	se
élança	VERB	élancer
à	ADP	à
travers	NOUN	travers
les	DET	le
Pampas	NOUN	pampa
et	CONJ	et
les	DET	le
prairies	NOUN	prairie
!	PUNCT	!
<EOS>	<EOS>	<EOS>
Vingt	NUM	vingt
années	NOUN	année
de	ADP	de
sa	PRON	son
vie	NOUN	vie
se	PRON	se
sont	VERB	être
ainsi	ADV	ainsi
écoulées	VERB	écouler
au	ADP	au
milieu	NOUN	milieu
des	ADP	du
tribus	NOUN	tribu
errantes	ADJ	errant
et	CONJ	et
indomptées	ADJ	indompté
des	ADP	du
deux	NUM	deux
Amériques	NOUN	amériques
,	PUNCT	,
franchissant	VERB	franchir
à	ADP	à
leur	PRON	leur
suite	NOUN	suite
d'	ADP	de
incommensurables	ADJ	incommensurable
distances	NOUN	distance
;	PUNCT	;
chassant	VERB	chasser
,	PUNCT	,
pêchant	VERB	pêcher
et	CONJ	et
combattant	VERB	combattre
avec	ADP	avec
les	DET	le
Indiens	NOUN	indien
;	PUNCT	;
sondant	VERB	sonder
le	DET	le
désert	NOUN	désert
dans	ADP	dans
ses	PRON	son
plus	ADV	plus
mystérieuses	ADJ	mystérieux
profondeurs	NOUN	profondeur
;	PUNCT	;
gravissant	VERB	gravir
les	DET	le
cimes	NOUN	cime
les	DET	le
plus	ADV	plus
escarpées	ADJ	escarpé
des	ADP	du
Cordillères	NOUN	cordillères
,	PUNCT	,
ou	CONJ	ou
,	PUNCT	,
la	DET	le
hache	NOUN	hache
à	ADP	à
la	DET	le
main	NOUN	main
,	PUNCT	,
se	PRON	se
frayant	VERB	frayer|frayer
un	DET	un
chemin	NOUN	chemin
à	ADP	à
travers	NOUN	travers
les	DET	le
forêts	NOUN	forêt
vierges	ADJ	vierge
du	ADP	du
Nouveau-Monde	NOUN	nouveau-monde
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Cette	PRON	ce
vie	NOUN	vie
du	ADP	du
désert	NOUN	désert
,	PUNCT	,
si	ADV	si
rude	ADJ	rude
,	PUNCT	,
si	ADV	si
pleine	ADJ	plein
de	ADP	de
fatigue	NOUN	fatigue
,	PUNCT	,
est	VERB	être
bien	ADV	bien
faite	VERB	faire
pour	ADP	pour
renouveler	VERB	renouveler
l'	DET	le
homme	NOUN	homme
;	PUNCT	;
les	DET	le
idées	NOUN	idée
s'	PRON	se
élargissent	VERB	élargir
,	PUNCT	,
on	PRON	on
s'	PRON	se
habitue	VERB	habituer
à	ADP	à
penser	VERB	penser
et	CONJ	et
à	ADP	à
croire	VERB	croire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
La	DET	le
vie	NOUN	vie
des	ADP	du
bois	NOUN	bois
vous	PRON	vous
rend	VERB	rendre
meilleur	ADJ	meilleur
et	CONJ	et
vous	PRON	vous
fait	VERB	faire
comprendre	VERB	comprendre
la	DET	le
mission	NOUN	mission
de	ADP	de
dévouement	NOUN	dévouement
,	PUNCT	,
d'	ADP	de
abnégation	NOUN	abnégation
et	CONJ	et
de	ADP	de
travail	NOUN	travail
que	CONJ	que
Dieu	NOUN	dieu
a	VERB	avoir
imposée	VERB	imposer
à	ADP	à
l'	DET	le
homme	NOUN	homme
sur	ADP	sur
la	DET	le
terre	NOUN	terre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Quelle	PRON	quel
existence	NOUN	existence
que	CONJ	que
celle	PRON	celui
du	ADP	du
nomade	NOUN	nomade
!	PUNCT	!
<EOS>	<EOS>	<EOS>
Ne	ADV	ne
reconnaissant	VERB	reconnaître
d'	ADP	de
autre	ADJ	autre
maître	NOUN	maître
que	CONJ	que
Dieu	NOUN	dieu
,	PUNCT	,
d'	ADP	de
autre	ADJ	autre
loi	NOUN	loi
que	CONJ	que
son	PRON	son
caprice	NOUN	caprice
,	PUNCT	,
libre	ADJ	libre
d'	ADP	de
entraves	NOUN	entrave
de	ADP	de
toute	PRON	tout
sorte	NOUN	sorte
,	PUNCT	,
monté	VERB	monter
sur	ADP	sur
un	DET	un
cheval	NOUN	cheval
aussi	ADV	aussi
indomptable	ADJ	indomptable
que	CONJ	que
lui	PRON	lui
-même	ADJ	même
,	PUNCT	,
ses	PRON	son
pistolets	NOUN	pistolet
à	ADP	à
la	DET	le
ceinture	NOUN	ceinture
,	PUNCT	,
son	PRON	son
couteau	NOUN	couteau
dans	ADP	dans
sa	PRON	son
botte	NOUN	botte
,	PUNCT	,
son	PRON	son
lasso	NOUN	lasso
aux	ADP	au
arçons	NOUN	arçon
,	PUNCT	,
et	CONJ	et
son	PRON	son
fusil	NOUN	fusil
sur	ADP	sur
le	DET	le
devant	NOUN	devant
de	ADP	de
sa	PRON	son
selle	NOUN	selle
,	PUNCT	,
il	PRON	il
s'	PRON	se
élance	VERB	élancer
gaiement	ADV	gaiement
en	ADP	en
avant	NOUN	avant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
ne	ADV	ne
sait	VERB	savoir
où	ADV	où
il	PRON	il
va	VERB	aller
et	CONJ	et
ne	ADV	ne
se	PRON	se
soucie	VERB	soucier
même	ADV	même
pas	ADV	pas
de	ADP	de
le	DET	le
savoir	NOUN	savoir
,	PUNCT	,
se	PRON	se
fiant	VERB	fier
à	ADP	à
son	PRON	son
courage	NOUN	courage
et	CONJ	et
à	ADP	à
son	PRON	son
audace	NOUN	audace
,	PUNCT	,
convaincu	VERB	convaincre
que	CONJ	que
Dieu	NOUN	dieu
ne	ADV	ne
l'	PRON	la|le
abandonnera	VERB	abandonner
pas	ADV	pas
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Rentré	VERB	rentrer
dans	ADP	dans
le	DET	le
monde	NOUN	monde
civilisé	VERB	civiliser
,	PUNCT	,
M	VERB	m
.	PUNCT	.
Aimard	NOUN	aimard
a	VERB	avoir
pris	VERB	prendre
la	DET	le
plume	NOUN	plume
,	PUNCT	,
non	ADV	non
pour	ADP	pour
se	PRON	se
faire	VERB	faire
homme	NOUN	homme
de	ADP	de
lettres	NOUN	lettre
,	PUNCT	,
mais	CONJ	mais
pour	ADP	pour
revivre	VERB	revivre
avec	ADP	avec
son	PRON	son
passé	NOUN	passé
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
se	PRON	se
croit	VERB	croire
encore	ADV	encore
au	ADP	au
désert	NOUN	désert
,	PUNCT	,
lorsqu'	CONJ	lorsque
il	PRON	il
raconte	VERB	raconter
ses	PRON	son
courses	NOUN	course
aventureuses	ADJ	aventureux
,	PUNCT	,
ses	PRON	son
chasses	NOUN	chasse
émouvantes	ADJ	émouvant
,	PUNCT	,
les	DET	le
périls	NOUN	péril
qu'	PRON	que
il	PRON	il
a	VERB	avoir
affrontés	VERB	affronter
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Dans	ADP	dans
un	DET	un
premier	NUM	premier
ouvrage	NOUN	ouvrage
,	PUNCT	,
les	DET	le
Trappeurs	NOUN	trappeur
de	ADP	de
l'	DET	le
Arkansas	NOUN	arkansas
,	PUNCT	,
il	PRON	il
n'	ADV	ne
avait	VERB	avoir
timidement	ADV	timidement
esquissé	VERB	esquisser
que	CONJ	que
quelques-unes	PRON	quelques-uns
de	ADP	de
ses	PRON	son
aventures	NOUN	aventure
dans	ADP	dans
les	DET	le
prairies	NOUN	prairie
;	PUNCT	;
dans	ADP	dans
le	DET	le
Grand	NOUN	grand
Chef	NOUN	chef
des	ADP	du
Aucas	NOUN	aucas
,	PUNCT	,
il	PRON	il
s'	PRON	se
est	VERB	être
laissé	VERB	laisser
malgré	ADP	malgré
lui	PRON	lui
emporter	VERB	emporter
par	ADP	par
le	DET	le
flot	NOUN	flot
puissant	ADJ	puissant
de	ADP	de
ses	PRON	son
souvenirs	NOUN	souvenir
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Il	PRON	il
a	VERB	avoir
voulu	VERB	vouloir
retracer	VERB	retracer
comment	ADV	comment
lui	PRON	lui
,	PUNCT	,
enfant	NOUN	enfant
perdu	VERB	perdre
de	ADP	de
cette	PRON	ce
civilisation	NOUN	civilisation
européenne	ADJ	européen
tant	ADV	tant
vantée	VERB	vanter
mais	CONJ	mais
si	ADV	si
étroite	ADJ	étroit
,	PUNCT	,
il	PRON	il
s'	PRON	se
était	VERB	être
peu	ADV	peu
à	ADP	à
peu	ADV	peu
transformé	VERB	transformer
au	ADP	au
désert	NOUN	désert
,	PUNCT	,
et	CONJ	et
comment	ADV	comment
,	PUNCT	,
à	ADP	à
l'	DET	le
aspect	NOUN	aspect
des	ADP	du
forêts	NOUN	forêt
vierges	ADJ	vierge
,	PUNCT	,
sous	ADP	sous
la	DET	le
conduite	NOUN	conduite
des	ADP	du
sauvages	ADJ	sauvage
habitants	NOUN	habitant
de	ADP	de
ces	PRON	ce
contrées	NOUN	contrée
,	PUNCT	,
il	PRON	il
était	VERB	être
enfin	ADV	enfin
devenu	VERB	devenir
homme	NOUN	homme
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Valentin	NOUN	valentin
Guillois	NOUN	guillois
n'	ADV	ne
est	VERB	être
pas	ADV	pas
un	DET	un
héros	NOUN	héro|héros
de	ADP	de
convention	NOUN	convention
,	PUNCT	,
c'	PRON	ce
est	VERB	être
l'	DET	le
auteur	NOUN	auteur
tout	ADV	tout
entier	ADJ	entier
avec	ADP	avec
ses	PRON	son
qualités	NOUN	qualité
et	CONJ	et
ses	PRON	son
défauts	NOUN	défaut
;	PUNCT	;
ce	PRON	ce
livre	NOUN	livre
n'	ADV	ne
est	VERB	être
que	CONJ	que
l'	DET	le
histoire	NOUN	histoire
de	ADP	de
ses	PRON	son
sensations	NOUN	sensation
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ses	PRON	son
acteurs	NOUN	acteur
,	PUNCT	,
M	VERB	m
.	PUNCT	.
Aimard	NOUN	aimard
les	PRON	la|le
a	VERB	avoir
tous	PRON	tout
connus	ADJ	connu
,	PUNCT	,
