Prologue	NOUN	prologue
confondu	VERB	confondre
avec	ADP	avec
le	DET	le
sang	NOUN	sang
des	ADP	du
victimes	NOUN	victime
au	ADP	au
profit	NOUN	profit
de	ADP	de
cette	PRON	ce
autre	ADJ	autre
nation	NOUN	nation
si	ADV	si
fière	ADJ	fier
alors	ADV	alors
de	ADP	de
ses	PRON	son
vaillants	ADJ	vaillant
capitaines	NOUN	capitaine
,	PUNCT	,
de	ADP	de
son	PRON	son
territoire	NOUN	territoire
fertile	ADJ	fertile
et	CONJ	et
de	ADP	de
son	PRON	son
commerce	NOUN	commerce
qui	PRON	qui
embrassait	VERB	embrasser
le	DET	le
monde	NOUN	monde
entier	ADJ	entier
;	PUNCT	;
le	DET	le
temps	NOUN	temps
a	VERB	avoir
marché	VERB	marcher
et	CONJ	et
l'	DET	le
Amérique	NOUN	amérique
méridionale	ADJ	méridional
expie	VERB	expier
à	ADP	à
l'	DET	le
heure	NOUN	heure
qu'	PRON	que
il	PRON	il
est	VERB	être
les	DET	le
crimes	NOUN	crime
qu'	PRON	que
elle	PRON	elle
a	VERB	avoir
fait	VERB	faire
commettre	VERB	commettre
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Déchirée	VERB	déchirer
par	ADP	par
des	ADP	du
factions	NOUN	faction
qui	PRON	qui
se	PRON	se
disputent	VERB	disputer
un	DET	un
pouvoir	NOUN	pouvoir
éphémère	ADJ	éphémère
,	PUNCT	,
opprimée	VERB	opprimer
par	ADP	par
des	ADP	du
oligarchies	NOUN	oligarchie
ruineuses	ADJ	ruineux
,	PUNCT	,
désertée	VERB	déserter
par	ADP	par
les	DET	le
étrangers	NOUN	étranger
qui	PRON	qui
se	PRON	se
sont	VERB	être
engraissés	VERB	engraisser
de	ADP	de
sa	PRON	son
substance	NOUN	substance
,	PUNCT	,
elle	PRON	elle
s'	PRON	se
affaisse	VERB	affaisser
lentement	ADV	lentement
sous	ADP	sous
le	DET	le
poids	NOUN	poids
de	ADP	de
son	PRON	son
inertie	NOUN	inertie
sans	ADP	sans
avoir	VERB	avoir
la	DET	le
force	NOUN	force
de	ADP	de
soulever	VERB	soulever
le	DET	le
linceul	NOUN	linceul
de	ADP	de
plomb	NOUN	plomb
qui	PRON	qui
l'	PRON	la|le
étouffe	VERB	étouffer
,	PUNCT	,
pour	CONJ	pour
ne	ADV	ne
se	PRON	se
réveiller	VERB	réveiller
qu'	CONJ	que
au	ADP	au
jour	NOUN	jour
où	PRON	où
une	DET	un
race	NOUN	race
nouvelle	ADJ	nouveau
,	PUNCT	,
pure	ADJ	pur
d'	ADP	de
homicide	ADJ	homicide
et	CONJ	et
se	PRON	se
gouvernant	VERB	gouverner
d'	ADP	de
après	ADP	après
les	DET	le
lois	NOUN	loi
de	ADP	de
Dieu	NOUN	dieu
,	PUNCT	,
lui	PRON	lui
apportera	VERB	apporter
le	DET	le
travail	NOUN	travail
et	CONJ	et
la	DET	le
liberté	NOUN	liberté
qui	PRON	qui
sont	VERB	être
la	DET	le
vie	NOUN	vie
des	ADP	du
peuples	NOUN	peuple
.	PUNCT	.
<EOS>	<EOS>	<EOS>
En	ADP	en
un	DET	un
mot	NOUN	mot
,	PUNCT	,
la	DET	le
race	NOUN	race
hispano-américaine	ADJ	hispano-américain
s'	PRON	se
est	VERB	être
perpétuée	VERB	perpétuer
dans	ADP	dans
les	DET	le
domaines	NOUN	domaine
qui	PRON	qui
lui	PRON	lui
ont	VERB	avoir
été	VERB	être
légués	VERB	léguer
par	ADP	par
ses	PRON	son
ancêtres	NOUN	ancêtre
sans	ADP	sans
en	PRON	en
étendre	VERB	étendre
les	DET	le
bornes	NOUN	borne
;	PUNCT	;
son	PRON	son
héroïsme	NOUN	héroïsme
s'	PRON	se
est	VERB	être
éteint	VERB	éteindre
dans	ADP	dans
la	DET	le
tombe	NOUN	tombe
de	ADP	de
Charles	NOUN	charles
Quint	NOUN	quint
,	PUNCT	,
et	CONJ	et
elle	PRON	elle
n'	ADV	ne
a	VERB	avoir
conservé	VERB	conserver
de	ADP	de
la	DET	le
mère	ADJ	mère
patrie	NOUN	patrie
que	CONJ	que
ses	PRON	son
mœurs	NOUN	mœurs
hospitalières	ADJ	hospitalier
,	PUNCT	,
son	PRON	son
intolérance	NOUN	intolérance
religieuse	ADJ	religieux
,	PUNCT	,
ses	PRON	son
moines	NOUN	moine
,	PUNCT	,
ses	PRON	son
guittareros	NOUN	guittareros
et	CONJ	et
ses	PRON	son
mendiants	NOUN	mendiant
armés	ADJ	armé
d'	ADP	de
escopettes	NOUN	escopette
.	PUNCT	.
<EOS>	<EOS>	<EOS>
De	ADP	de
tous	PRON	tout
les	DET	le
États	NOUN	états
qui	PRON	qui
forment	VERB	former
la	DET	le
vaste	ADJ	vaste
confédération	NOUN	confédération
mexicaine	ADJ	mexicain
,	PUNCT	,
l'	DET	le
État	NOUN	état
de	ADP	de
Sonora	NOUN	sonora
est	VERB	être
le	DET	le
seul	NOUN	seul
qui	PRON	qui
,	PUNCT	,
à	ADP	à
cause	NOUN	cause
de	ADP	de
ses	PRON	son
luttes	NOUN	lutte
avec	ADP	avec
les	DET	le
