Livre	NOUN	livre
,	PUNCT	,
un	DET	un
grand	ADJ	grand
faisceau	NOUN	faisceau
de	ADP	de
perches	NOUN	perche
à	ADP	à
houblon	NOUN	houblon
,	PUNCT	,
une	DET	un
charrue	NOUN	charrue
,	PUNCT	,
un	DET	un
tas	NOUN	tas
de	ADP	de
broussailles	NOUN	broussaille
sèches	ADJ	sèche
près	ADV	près
d'	ADP	de
une	DET	un
haie	NOUN	haie
vive	ADJ	vif
,	PUNCT	,
de	ADP	de
la	DET	le
chaux	NOUN	chaux
qui	PRON	qui
fumait	VERB	fumer
dans	ADP	dans
un	DET	un
trou	NOUN	trou
carré	ADJ	carré
,	PUNCT	,
une	DET	un
échelle	NOUN	échelle
le	DET	le
long	NOUN	long
d'	ADP	de
un	DET	un
vieux	ADJ	vieux
hangar	NOUN	hangar
à	ADP	à
cloisons	NOUN	cloison
de	ADP	de
paille	NOUN	paille
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Une	DET	un
jeune	ADJ	jeune
fille	NOUN	fille
sarclait	VERB	sarcler
dans	ADP	dans
un	DET	un
champ	NOUN	champ
où	PRON	où
une	DET	un
grande	ADJ	grand
affiche	NOUN	affiche
jaune	ADJ	jaune
,	PUNCT	,
probablement	ADV	probablement
du	ADP	du
spectacle	NOUN	spectacle
forain	ADJ	forain
de	ADP	de
quelque	PRON	quelque
kermesse	NOUN	kermesse
,	PUNCT	,
volait	VERB	voler
au	ADP	au
vent	NOUN	vent
.	PUNCT	.
<EOS>	<EOS>	<EOS>
À	ADP	à
l'	DET	le
angle	NOUN	angle
de	ADP	de
l'	DET	le
auberge	NOUN	auberge
,	PUNCT	,
à	ADP	à
côté	NOUN	côté
d'	ADP	de
une	DET	un
mare	NOUN	mare
où	PRON	où
naviguait	VERB	naviguer
une	DET	un
flottille	NOUN	flottille
de	ADP	de
canards	NOUN	canard
,	PUNCT	,
un	DET	un
sentier	NOUN	sentier
mal	ADV	mal
pavé	VERB	paver
s'	PRON	se
enfonçait	VERB	enfoncer
dans	ADP	dans
les	DET	le
broussailles	NOUN	broussaille
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ce	PRON	ce
passant	NOUN	passant
y	PRON	y
entra	VERB	entrer
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Au	ADP	au
bout	NOUN	bout
d'	ADP	de
une	DET	un
centaine	NOUN	centaine
de	ADP	de
pas	ADV	pas
,	PUNCT	,
après	ADP	après
avoir	VERB	avoir
longé	VERB	longer
un	DET	un
mur	NOUN	mur
du	ADP	du
quinzième	NUM	quinzième
siècle	NOUN	siècle
surmonté	VERB	surmonter
d'	ADP	de
un	DET	un
pignon	NOUN	pignon
aigu	ADJ	aigu
à	ADP	à
briques	NOUN	brique
contrariées	VERB	contrarier
,	PUNCT	,
il	PRON	il
se	PRON	se
trouva	VERB	trouver
en	ADP	en
présence	NOUN	présence
d'	ADP	de
une	DET	un
grande	ADJ	grand
porte	NOUN	porte
de	ADP	de
pierre	NOUN	pierre
cintrée	VERB	cintrer
,	PUNCT	,
avec	ADP	avec
imposte	NOUN	imposte
rectiligne	ADJ	rectiligne
,	PUNCT	,
dans	ADP	dans
le	DET	le
grave	ADJ	grave
style	NOUN	style
de	ADP	de
Louis	NOUN	louis
XIV	NUM	xiv
,	PUNCT	,
accostée	VERB	accoster
de	ADP	de
deux	NUM	deux
médaillons	NOUN	médaillon
planes	ADJ	plan
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Une	DET	un
façade	NOUN	façade
sévère	ADJ	sévère
dominait	VERB	dominer
cette	PRON	ce
porte	NOUN	porte
;	PUNCT	;
un	DET	un
mur	NOUN	mur
perpendiculaire	ADJ	perpendiculaire
à	ADP	à
la	DET	le
façade	NOUN	façade
venait	VERB	venir
presque	ADV	presque
toucher	VERB	toucher
la	DET	le
porte	NOUN	porte
et	CONJ	et
la	PRON	la
flanquait	VERB	flanquer
d'	ADP	de
un	DET	un
brusque	ADJ	brusque
angle	NOUN	angle
droit	ADJ	droit
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Sur	ADP	sur
le	DET	le
pré	NOUN	pré
devant	ADP	devant
la	DET	le
porte	NOUN	porte
gisaient	VERB	gésir
trois	NUM	trois
herses	NOUN	herse
à	ADP	à
travers	NOUN	travers
lesquelles	PRON	lequel
poussaient	VERB	pousser
pêle-mêle	ADV	pêle-mêle
