I	NUM	i
l'	DET	le
eau	NOUN	eau
sous	ADP	sous
les	DET	le
prétextes	NOUN	prétexte
les	DET	le
plus	ADV	plus
futiles	ADJ	futile
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Voici	ADV	voici
quelle	PRON	quel
est	VERB	être
la	DET	le
population	NOUN	population
de	ADP	de
l'	DET	le
Arizona	NOUN	arizona
:	PUNCT	:
Les	DET	le
Indiens	ADJ	indien
bravos	NOUN	bravos
,	PUNCT	,
c'	PRON	ce
est-à-dire	ADV	est-à-dire
indomptés	ADJ	indompté
,	PUNCT	,
les	DET	le
Comanches	NOUN	comanches
,	PUNCT	,
les	DET	le
Apaches	NOUN	apaches
,	PUNCT	,
les	DET	le
Pawnees	NOUN	pawnees
et	CONJ	et
d'	ADP	de
autres	ADJ	autre
encore	ADV	encore
,	PUNCT	,
qui	PRON	qui
prétendent	VERB	prétendre
avec	ADP	avec
raison	NOUN	raison
être	VERB	être
les	DET	le
maîtres	NOUN	maître
du	ADP	du
sol	NOUN	sol
;	PUNCT	;
puis	ADV	puis
les	DET	le
coureurs	NOUN	coureur
des	ADP	du
bois	NOUN	bois
,	PUNCT	,
les	DET	le
chasseurs	NOUN	chasseur
et	CONJ	et
les	DET	le
trappeurs	NOUN	trappeur
,	PUNCT	,
les	DET	le
seuls	ADJ	seul
honnêtes	NOUN	honnête
;	PUNCT	;
viennent	VERB	venir
ensuite	ADV	ensuite
les	DET	le
pirates	NOUN	pirate
des	ADP	du
savanes	NOUN	savane
,	PUNCT	,
sang-mêlé	NOUN	sang-mêlé
pour	ADP	pour
la	DET	le
plupart	NOUN	plupart
,	PUNCT	,
féroces	ADJ	féroce
,	PUNCT	,
voleurs	ADJ	voleur
et	CONJ	et
assassins	ADJ	assassin
,	PUNCT	,
sans	ADP	sans
foi	NOUN	foi
ni	CONJ	ni
loi	NOUN	loi
;	PUNCT	;
et	CONJ	et
enfin	ADV	enfin
les	DET	le
déclassés	ADJ	déclassé
et	CONJ	et
les	DET	le
naufragés	NOUN	naufragé
de	ADP	de
toutes	PRON	tout
les	DET	le
civilisations	NOUN	civilisation
du	ADP	du
Vieux	NOUN	vieux
et	CONJ	et
du	ADP	du
Nouveau	NOUN	nouveau
Monde	NOUN	monde
;	PUNCT	;
population	NOUN	population
anonyme	ADJ	anonyme
sans	ADP	sans
nom	NOUN	nom
dont	PRON	dont
les	DET	le
mauvais	ADJ	mauvais
instincts	NOUN	instinct
n'	ADV	ne
ont	VERB	avoir
aucun	PRON	aucun
frein	NOUN	frein
et	CONJ	et
ne	ADV	ne
connaissent	VERB	connaître
que	CONJ	que
la	DET	le
force	NOUN	force
et	CONJ	et
la	DET	le
loi	NOUN	loi
du	ADP	du
talion	NOUN	talion
,	PUNCT	,
œil	NOUN	œil
pour	ADP	pour
œil	NOUN	œil
,	PUNCT	,
dent	NOUN	dent
pour	ADP	pour
dent	NOUN	dent
,	PUNCT	,
et	CONJ	et
ne	ADV	ne
s'	PRON	se
inclinent	VERB	incliner
que	CONJ	que
devant	ADP	devant
le	DET	le
juge	NOUN	juge
Lynch	NOUN	lynch
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Et	CONJ	et
cependant	ADV	cependant
cette	PRON	ce
contrée	NOUN	contrée
est	VERB	être
la	DET	le
plus	ADV	plus
riche	ADJ	riche
et	CONJ	et
la	DET	le
plus	ADV	plus
belle	ADJ	beau
de	ADP	de
l'	DET	le
univers	NOUN	univers
,	PUNCT	,
son	PRON	son
climat	NOUN	climat
est	VERB	être
admirable	ADJ	admirable
,	PUNCT	,
sa	PRON	son
flore	NOUN	flore
et	CONJ	et
sa	PRON	son
faune	NOUN	faune
sont	VERB	être
incomparables	ADJ	incomparable
et	CONJ	et
ses	PRON	son
mines	NOUN	mine
d'	ADP	de
or	NOUN	or
,	PUNCT	,
d'	ADP	de
argent	NOUN	argent
et	CONJ	et
de	ADP	de
cuivre	NOUN	cuivre
sont	VERB	être
inépuisables	ADJ	inépuisable
;	PUNCT	;
aussi	ADV	aussi
,	PUNCT	,
espérons-nous	NOUN	espérons-nous
que	CONJ	que
dans	ADP	dans
un	DET	un
avenir	NOUN	avenir
prochain	ADJ	prochain
l'	DET	le
Arizona	NOUN	arizona
entrera	VERB	entrer
malgré	ADP	malgré
elle	PRON	elle
dans	ADP	dans
la	DET	le
grande	ADJ	grand
famille	NOUN	famille
des	ADP	du
peuples	NOUN	peuple
,	PUNCT	,
tout	PRON	tout
*	NOUN	*
*	ADJ	*
le	PRON	le
fait	VERB	faire
prévoir	VERB	prévoir
:	PUNCT	:
la	DET	le
civilisation	NOUN	civilisation
marche	VERB	marcher
en	ADP	en
avant	ADP	avant
quand	ADV	quand
même	ADJ	même
,	PUNCT	,
et	CONJ	et
le	DET	le
désert	NOUN	désert
se	PRON	se
rétrécit	VERB	rétrécir
tous	PRON	tout
les	DET	le
jours	NOUN	jour
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Un	DET	un
vendredi	NOUN	vendredi
de	ADP	de
la	DET	le
fin	NOUN	fin
du	ADP	du
mois	NOUN	moi|mois
de	ADP	de
juin	NOUN	juin
187	NUM	@card@
...	PUNCT	...
entre	ADP	entre
quatre	NUM	quatre
et	CONJ	et
cinq	NUM	cinq
heures	NOUN	heure
du	ADP	du
soir	NOUN	soir
,	PUNCT	,
ainsi	CONJ	ainsi
que	PRON	que
l'	PRON	la|le
indiquait	VERB	indiquer
l'	DET	le
ombre	NOUN	ombre
allongée	VERB	allonger
des	ADP	du
arbres	NOUN	arbre
sur	ADP	sur
le	DET	le
sol	NOUN	sol
,	PUNCT	,
un	DET	un
homme	NOUN	homme
,	PUNCT	,
qui	PRON	qui
semblait	VERB	sembler
être	VERB	être
un	DET	un
chasseur	NOUN	chasseur
ou	CONJ	ou
un	DET	un
coureur	NOUN	coureur
des	ADP	du
bois	NOUN	bois
,	PUNCT	,
après	ADP	après
avoir	VERB	avoir
traversé	VERB	traverser
à	ADP	à
gué	NOUN	gué
le	DET	le
rio	NOUN	rio
Gila	NOUN	gila
à	ADP	à
son	PRON	son
confluent	NOUN	confluent
avec	ADP	avec
le	DET	le
rio	NOUN	rio
Puerco	NOUN	puerco
,	PUNCT	,
fit	VERB	faire
halte	NOUN	halte
sur	ADP	sur
la	DET	le
berge	NOUN	berge
de	ADP	de
la	DET	le
rivière	NOUN	rivière
,	PUNCT	,
laissa	VERB	laisser
tomber	VERB	tomber
la	DET	le
crosse	NOUN	crosse
