	Filename	author.name	title	Year	supergenre	Genre	Subgenre	author.country	author.viaf	author.bne	author.gender	title.main	title.viaf	title.bne	author.name.full	subtitle	availability	subgenre.cligs	genre.analyzed	genre.analyzed.cert	date.file	digital.source	digital.source.format	genre.subtitle	narrator	protagonist.gender	setting.type	form	publication	digital.source.idno	author.continent	authorText.group	authorText.subgroup	protagonist.name	protagonist.age	protagonist.socLevel	protagonist.profession	representation	setting.continent	setting.country	setting.settlement	setting.territory	text.movement	time.period	time.span	authorText.relation	end	time.year	keywords.cert	author.movement	author.submovement	author.date.birth	author.date.death	litHist.literaryQuality	litHist.brow	litHist.audience	author.litHist.pages	author.nonNovelGenre	litHist.pages	author.year.change	setting.settlement.represented.exist	setting.represented	MdLE	CoNSSA	CoNSSA.canon	HdLE	subgenre.lithist.MdLE	subgenre.lithist.HdLE	subgenre.edit.epublibre	subgenre.edit.amazon	subgenre.edit.wikidata	subgenre.edit.esdbpedia	subgenre.subtitle.bne	subgenre.subtitle.first.edition	subgenre.cluster	am.tokens	am.chars	am.divs	am.verses	am.sps	am.paragraphs	am.pds	am.numerals	am.puncts	am.blocks	am.chapters	am.shortStories	am.parts	am.sections	am.divisions	am.lg.poems	am.lg.stanzas	am.saids	am.narrative.ps	am.punctual.ss	len.abstract	am.fts	len.chapters.mean	len.chapters.std	len.chapters.median	len.chapters.iqr	am.conjunctions	am.determiners	am.nouns	am.verbs	am.adverbs	am.adjectives	am.adpositions	am.punctuations	am.pronouns	am.dates	am.numbers	am.interjections	am.ne.persons	am.ne.organizations	am.ne.locations	am.ne.others	am.ss	len.ss.mean	len.ss.std	len.ss.median	len.ss.iqr	am.ss.active.verbs.mean	am.ss.active.verbs.std	am.ss.active.verbs.median	am.ss.active.verbs.iqr	am.ws	am.ws.num.mean	am.ws.num.std	am.ws.num.median	am.ws.num.iqr	am.wnlex.noun.plants	am.wnlex.verb.communications	am.wnlex.noun.foods	am.wnlex.verb.possessions	am.wnlex.verb.cognitions	am.wnlex.noun.communications	am.wnlex.noun.states	am.wnlex.verb.statives	am.wnlex.noun.cognitions	am.wnlex.noun.times	am.wnlex.verb.bodys	am.wnlex.noun.persons	am.wnlex.adj.alls	am.wnlex.noun.quantitys	am.wnlex.noun.phenomenons	am.wnlex.verb.creations	am.wnlex.adj.perts	am.wnlex.adv.alls	am.wnlex.noun.processs	am.wnlex.noun.artifacts	am.wnlex.verb.perceptions	am.wnlex.noun.feelings	am.wnlex.verb.weathers	am.wnlex.noun.substances	am.wnlex.noun.shapes	am.wnlex.verb.competitions	am.wnlex.verb.motions	am.wnlex.noun.animals	am.wnlex.noun.acts	am.wnlex.noun.bodys	am.wnlex.noun.objects	am.wnlex.noun.motives	am.wnlex.verb.socials	am.wnlex.noun.groups	am.wnlex.verb.consumptions	am.wnlex.noun.possessions	am.wnlex.noun.Topss	am.wnlex.noun.relations	am.wnlex.noun.attributes	am.wnlex.verb.emotions	am.wnlex.noun.locations	am.wnlex.noun.events	am.wnlex.verb.contacts	am.wnlex.xxxs	am.wnlex.verb.changes	decade	autobiografía	aventura	biografía	costumbrista	diálogo	educación	episodio nacional	erótica	espiritual	fantástico	filosófica	greguería	guerra	histórica	humor	memorias	modernista	naturalista	nivola	poética	psicológica	realista	social	ficción-literaria	Brow
ne0244	ne0244	Baroja	Ruta	1913	narrative	novela	adventure	Spain	36912891.0	XX842743	male	La ruta del aventurero	NaN	bimo0000574621	Pío Baroja	NaN	restricted	historical,adventure	novela	NaN	2016-03-23	#epublibre	epub	memorias	homodiegetic	male	rural	prose	book	1771	Europe	Memorias de un hombre de acción	NaN	Juan Hipólito Thompson	adult	medium	military personnel	realistic	Europe	Spain	mixed	mixed	modernista	contemporary	760	none	neutral	182?	low	modernism	3-modernista	1872	1956	NaN	NaN	NaN	117	essay	0.2	1912.0	True	Spain	True	True	False	True	memorias	NaN	Aventuras, Histórico	Ficción clásica, Libros en inglés	NaN	NaN	novela, memorias	novela, memorias	NaN	67744	388924	89	15	0	2508	949	48	12269	2625	69	0	5	13	1	5	0	1081	1559	4114	1649	13	5889.16	3129.47	5448.0	3610.0	4828	11621	15676	12000	2854	3673	10188	12037	6369	43	381	103	1239	479	733	270	3033	130.56	95.79	109.0	105.0	2.4	1.96	2.0	2.0	79775	NaN	NaN	NaN	NaN	115	1316	174	469	745	774	309	3022	561	542	533	2098	2653	67	159	573	213	965	33	1954	509	213	68	198	91	94	1376	231	719	345	603	17	588	585	170	114	172	28	623	201	436	253	587	53587	692	1910	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	low
ne0246	ne0246	Baroja	Venganza	1921	narrative	novela	historical	Spain	36912891.0	XX842743	male	El sabor de la venganza	NaN	bimo0000574626	Pío Baroja	NaN	restricted	adventure,memoir,realist,social,historical	novela	NaN	2016-03-22	#epublibre	epub	memorias	homodiegetic	male	big-city	prose	book	1798	Europe	Memorias de un hombre de acción	NaN	Eugenio de Aviraneta	adult	medium	mixed	realistic	Europe	Spain	Madrid	Castilla	modernista	contemporary	7300	low	neutral	1834	medium	modernism	3-modernista	1872	1956	NaN	NaN	NaN	117	essay	0.2	1912.0	True	Madrid	True	True	False	False	memorias	NaN	Aventuras, Histórico	 Bibliotecas, Ficción clásica, Libros escolares; Literatura y ficción, Literatura y ficción	NaN	NaN	memorias	memorias	NaN	42968	244803	59	25	0	1399	531	48	7640	1598	44	0	6	6	1	2	0	607	868	2429	1959	6	5719.89	3228.31	4689.0	3134.75	3053	6831	9815	7436	1756	2053	6402	7481	4011	48	239	49	1129	492	521	154	1887	129.7	88.81	112.0	103.0	2.32	1.92	2.0	2.0	49174	NaN	NaN	NaN	NaN	20	918	59	299	554	494	241	1998	380	311	386	1704	1561	26	67	346	56	638	20	1273	235	166	20	101	27	82	635	87	560	201	114	11	412	381	113	81	83	10	362	129	237	147	290	32934	405	1920	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	low
ne0247	ne0247	Baroja	Cronica	1935	narrative	novela	historical	Spain	36912891.0	XX842743	male	Crónica escandalosa	NaN	bimo0000574320	Pío Baroja	NaN	restricted	adventure,memoir,realist,social,historical	novela	NaN	2016-03-23	#epublibre	epub	memorias	homodiegetic	male	big-city	prose	book	1876	Europe	Memorias de un hombre de acción	NaN	Eugenio de Aviraneta	adult	medium	mixed	realistic	Europe	Spain	Madrid	Castilla	modernista	contemporary	2190	none	partial negative	1833	medium	modernism	3-modernista	1872	1956	NaN	NaN	NaN	117	essay	0.2	1912.0	True	Madrid	True	True	False	False	memorias	memoria-histórico	Aventuras, Histórico	Ficción contemporánea	NaN	NaN	memorias	memorias	NaN	48363	279510	83	8	0	1677	920	77	8537	1759	24	0	3	54	0	2	0	1001	757	3145	1290	11	12080.96	6511.04	11553.0	8347.25	2604	5660	8615	6477	1679	1875	5687	6587	3619	51	168	34	1097	255	614	92	1588	136.66	105.69	109.0	106.0	2.43	2.14	2.0	2.0	43056	NaN	NaN	NaN	NaN	13	867	69	235	608	460	204	1833	372	289	292	1584	1294	25	54	250	141	627	15	879	141	118	10	56	9	59	478	58	464	104	50	8	461	392	118	78	82	15	239	132	229	147	186	29011	300	1930	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	low
ne0264	ne0264	BlascoIbanez	MareNostrum	1918	narrative	novela	historical	Spain	73848096.0	XX1028057	male	Mare nostrum	174700936	NaN	Vicente Blasco Ibáñez	(Novela)	free	adventure,sentimental,war-novel,historical	novela	NaN	2016-06-20	#gutenberg	html	Novela	heterodiegetic	male	big-city	prose	book	23236	Europe	obras de la segunda etapa	NaN	Ulises Ferragut	adult	medium	seaman	realistic	Europe	mixed	mixed	mixed	modernista	contemporary	365	none	negative	1915	low	modernism	2-modernista	1867	1928	NaN	NaN	NaN	23	short-stories	0.2	1909.0	True	Europe	True	True	False	True	novelas de la guerra	novelas de guerra	NaN	 Literatura y ficción; Literatura y ficción, Literatura y ficción;	NaN	NaN	novela	novela	NaN	144816	870605	13	0	0	3057	652	6	26022	3070	12	0	0	0	0	0	0	879	2405	8672	312	0	73896.33	22136.25	74569.0	30239.75	7063	27711	36256	27700	5780	10631	21112	23092	10642	26	547	119	1772	531	1320	192	6697	133.12	86.76	115.0	95.0	2.26	1.64	2.0	2.0	170679	NaN	NaN	NaN	NaN	160	1833	432	1020	1308	1934	958	5511	1371	1176	789	4569	7022	247	479	1444	685	1612	126	3920	1286	891	94	761	236	265	2834	431	2293	1636	1533	44	1471	1121	250	195	472	129	1790	809	1342	918	1298	110439	1541	1910	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	low
ne0266	ne0266	BlascoIbanez	ParaisoMujeres	1922	narrative	novela	adventure	Spain	73848096.0	XX1028057	male	El paraíso de las mujeres	308019362	NaN	Vicente Blasco Ibáñez	NaN	free	fantastic,sentimental,adventure	novela	NaN	2016-06-20	#gutenberg	html	NaN	heterodiegetic	male	big-city	prose	book	10822	Europe	obras de la segunda etapa	NaN	Edwin Gillespie	adult	medium	researcher	non-realistic	Oceania	Australia	Mildendo	Liliput	modernista	contemporary	365	none	positive	191?	medium	modernism	2-modernista	1867	1928	NaN	low	NaN	23	short-stories	0.2	1909.0	False	Australia	True	True	False	False	novelas de aventuras	NaN	Aventuras	 Ficción clásica, Ciencia ficción, Ciencia ficción; Antologías ; Literaria, Ficción clásica, Romántica; Ficción, Europea, Antologías; Literatura y ficción	NaN	NaN	NaN	NaN	NaN	90183	543474	18	0	0	1781	386	1	12204	1801	16	0	0	0	0	0	0	577	1395	4305	1240	0	33385.12	8453.21	35016.0	9889.0	4752	16449	20126	17363	4073	5685	12284	11501	7056	8	340	41	1029	658	218	162	3750	142.76	81.67	129.0	97.0	2.44	1.68	2.0	2.0	99678	NaN	NaN	NaN	NaN	80	1353	159	607	1119	1385	625	3696	1049	696	480	2781	4248	128	186	763	146	1328	47	1995	611	409	20	231	111	171	1612	249	1300	791	468	28	1170	1215	129	139	338	38	1067	402	570	485	699	63707	846	1920	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	low
ne0269	ne0269	BlascoIbanez	BuscaKan	1928	narrative	novela	historical	Spain	73848096.0	XX1028057	male	En busca del Gran Kan	307972255	XX1892702	Vicente Blasco Ibáñez	NaN	free	adventure,historical	novela	NaN	2016-06-17	#epublibre	epub	NaN	heterodiegetic	male	boat	prose	book	25362	Europe	obras de la segunda etapa	NaN	Cristóbal Colón	adult	medium	seaman	realistic	mixed	mixed	mixed	mixed	modernista	modern_times	365	none	partial positive	1492	low	modernism	2-modernista	1867	1928	NaN	NaN	NaN	23	short-stories	0.2	1909.0	True	mixed	True	True	False	False	novela histórica	NaN	Histórico	 Literatura y ficción; Antigua y clásica;	NaN	NaN	NaN	NaN	NaN	125631	743450	22	37	0	1936	148	91	15706	1997	18	0	3	0	0	6	0	203	1788	4743	378	0	40532.5	9316.19	39020.0	11722.0	6871	21456	29848	19329	4989	7947	21030	15018	8303	125	756	46	1970	643	1902	272	4433	164.42	95.82	147.0	118.0	1.87	1.33	2.0	1.0	135718	NaN	NaN	NaN	NaN	269	1755	212	954	1340	1477	800	4577	1021	1013	607	3901	5601	220	269	1143	444	1801	52	2147	716	387	52	608	69	132	2191	361	1999	751	1373	18	1190	1121	207	270	318	93	1255	411	1349	533	880	88849	982	1920	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	low
ne0283	ne0283	Galdos	VueltaNumancia	1906	narrative	novela	historical	Spain	71395987.0	XX1014802	male	La vuelta al mundo en la «Numancia»	182484153	NaN	Benito Pérez Galdós	Episodios nacionales, libro octavo de la serie cuarta	free	adventure,realist,historical	novela	NaN	2016-06-27	#epublibre	epub	episodio nacional	heterodiegetic	male	boat	prose	book	1975	Europe	Episodios nacionales	Episodios nacionales: cuarta serie	Diego Ansúrez	adult	medium	seaman	realistic	mixed	mixed	mixed	mixed	realista	contemporary	730	none	positive	1865	low	realism	realista	1843	1920	NaN	low	NaN	181	theatre	0.2	1889.0	True	mixed	True	True	False	False	episodio nacional	NaN	Histórico	Historias náuticas, Historias cortas, Ficción clásica; Literatura y ficción; Antologías ; Antologías, Antologías; Ficción clásica, Historia, Ficción clásica	NaN	NaN	episodio nacional	episodio nacional	NaN	70677	408463	32	0	0	494	157	53	11196	525	31	0	0	0	0	0	0	227	337	2533	523	0	13291.23	2770.25	13822.0	1936.5	5320	11562	17723	11630	3197	4360	10941	11092	5744	49	337	52	1810	719	839	249	2338	179.49	134.17	148.0	131.0	2.78	2.42	2.0	2.0	82007	NaN	NaN	NaN	NaN	42	1098	149	473	746	1071	544	2716	811	420	395	1856	2832	95	167	482	255	973	64	1462	433	317	56	240	51	126	1147	275	1182	486	517	40	830	576	185	126	215	82	828	278	577	413	541	55193	642	1900	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	low
ne0284	ne0284	Galdos	Amadeo	1910	narrative	novela	adventure	Spain	71395987.0	XX1014802	male	Amadeo I	179444510	XX5588016	Benito Pérez Galdós	Episodios nacionales: Libro tercero de la serie quinta	free	fantastic,historical,sentimental,adventure	novela	NaN	2016-06-28	#epublibre	epub	episodio nacional	autodiegetic	male	big-city	prose	book	2014	Europe	Episodios nacionales	Episodios nacionales: quinta serie	Proteo (Tito) Liviano	adult	medium	journalist	non-realistic	Europe	Spain	Madrid	Castilla	realista	contemporary	730	none	neutral	1871	medium	realism	realista	1843	1920	NaN	low	NaN	181	theatre	0.2	1889.0	True	Madrid	True	True	False	True	episodio nacional	NaN	Histórico	Ficción clásica, Ficción histórica, Ficción por género; Edad moderna hasta el siglo XX, Historia social y cultural, Historia	NaN	NaN	episodio nacional	episodio nacional	NaN	73138	423024	29	0	0	524	130	80	11764	552	28	0	0	0	0	0	0	179	394	3017	718	0	15245.29	4174.02	15826.0	4380.5	5191	11376	17595	12135	3158	4950	11001	11661	6736	39	365	84	1884	772	879	360	2846	152.53	117.3	125.0	122.75	2.38	1.93	2.0	2.0	84291	NaN	NaN	NaN	NaN	47	1329	166	461	835	1342	481	2669	1014	541	430	2042	3153	101	116	524	290	997	46	1391	504	276	45	158	41	137	1117	152	1117	486	212	49	792	656	196	124	247	38	796	343	424	328	521	56901	656	1910	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	low
ne0285	ne0285	Galdos	Republica	1911	narrative	novela	adventure	Spain	71395987.0	XX1014802	male	La Primera República	179444510	XX2127950	Benito Pérez Galdós	Episodios nacionales: Libro cuarto de la serie quinta	free	fantastic,historical,sentimental,adventure	novela	NaN	2016-06-28	#epublibre	epub	episodio nacional	autodiegetic	male	small-city	prose	book	2015	Europe	Episodios nacionales	Episodios nacionales: quinta serie	Proteo (Tito) Liviano	adult	medium	journalist	non-realistic	Europe	Spain	Cartagena	Murcia	realista	contemporary	365	none	neutral	1873	medium	realism	realista	1843	1920	NaN	low	NaN	181	theatre	0.2	1889.0	True	Cartagena	True	True	False	False	episodio nacional	NaN	Histórico	Historia, Ficción contemporánea; Ficción clásica, Ficción histórica, Ficción por género; Política; Antologías; Ficción, Europea, Antologías ; Edad moderna hasta el siglo XX, Historia social y cultural, Historia; Ficción clásica, Historia, Ficción clásica; Edad moderna hasta el siglo XX, Historia social y cultural, Historia;	NaN	NaN	episodio nacional	episodio nacional	NaN	67946	398232	30	0	0	696	226	76	10926	725	29	0	0	0	0	0	0	303	470	3091	554	0	13892.79	4183.73	15144.0	4596.0	4539	10668	16080	11564	2961	4406	10287	10837	6516	84	300	82	1691	929	801	243	2841	143.66	103.23	122.0	110.0	2.28	1.7	2.0	2.0	78324	NaN	NaN	NaN	NaN	46	1225	158	450	723	1160	425	2433	753	515	377	1711	2797	119	114	477	275	986	44	1382	550	244	53	128	34	135	1183	174	1027	455	252	31	740	654	148	66	217	30	826	297	472	248	550	53012	628	1910	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	low
ne0286	ne0286	Galdos	Canovas	1912	narrative	novela	adventure	Spain	71395987.0	XX1014802	male	Cánovas	179444510	XX2127841	Benito Pérez Galdós	Episodios nacionales, libro sexto de la serie quinta	free	fantastic,historical,sentimental,adventure	novela	NaN	2016-06-28	#epublibre	epub	episodio nacional	autodiegetic	male	big-city	prose	book	2017	Europe	Episodios nacionales	Episodios nacionales: quinta serie	Proteo (Tito) Liviano	adult	medium	journalist	non-realistic	Europe	Spain	Madrid	Castilla	realista	contemporary	730	none	neutral	1878	medium	realism	realista	1843	1920	NaN	low	NaN	181	theatre	0.2	1889.0	True	Madrid	True	True	False	False	episodio nacional	NaN	Histórico	Literaria, Ficción clásica, Ficción histórica ; Antologías ; Edad moderna hasta el siglo XX, Historia social y cultural, Historia; Historia, Historia	NaN	NaN	episodio nacional	episodio nacional	NaN	64407	380135	29	0	0	688	257	114	9698	716	28	0	0	0	0	0	0	339	431	2571	1648	0	13745.93	4918.97	15242.0	6699.75	4253	10262	15414	10205	2761	4724	9881	9616	5526	82	254	91	1819	788	876	326	2302	169.09	118.63	145.0	127.0	2.43	1.85	2.0	2.0	73069	NaN	NaN	NaN	NaN	43	1118	97	450	769	1131	448	2182	849	569	372	1609	2937	64	93	467	253	1046	22	1186	382	235	31	97	26	89	910	132	1045	356	148	26	724	510	147	117	235	40	758	220	333	296	411	49525	571	1910	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	low
ne0318	ne0318	Trigo	MediaNaranja	1910	narrative	novela	erotic	Spain	79060694.0	XX1051062	male	Mi media naranja	NaN	XX2859668	Felipe Trigo	NaN	free	social,erotic	novela	NaN	2016-09-06	#bvmc	html	NaN	autodiegetic	male	big-city	prose	book	NaN	Europe	novelas eróticas	NaN	Aurelio Ortega y Sánchez de León	adult	medium	?	realistic	Europe	Spain	Madrid	Castilla	modernista	contemporary	90	none	negative	19??	low	modernism	2-modernista	1864	1916	NaN	NaN	NaN	13	short-stories	0.2	0.0	True	Madrid	True	True	False	False	novela erótica	NaN	NaN	NaN	NaN	NaN	NaN	NaN	bucólica	15202	85996	14	6	0	645	176	0	5292	665	11	0	2	0	0	2	0	208	469	1273	3	0	8204.36	3642.41	8383.0	6463.5	1168	2472	3188	3007	959	902	1933	4383	1643	12	62	84	217	45	58	17	939	94.99	104.72	65.0	91.0	1.86	2.02	1.0	1.0	19813	NaN	NaN	NaN	NaN	17	190	62	79	186	132	93	772	149	103	139	456	635	13	28	76	22	309	7	410	101	94	5	25	2	13	228	18	202	161	57	8	152	76	74	16	61	7	244	122	34	51	117	13983	84	1910	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	low
ne0336	ne0336	Poncela	AmorHache	1929	narrative	novela	erotic	Spain	76354919.0	XX1719708	male	Amor se escribe sin hache	NaN	bimo0001041714	Enrique Jardiel Poncela	Novela casi cosmopolita	restricted	comedy,erotic	novela	NaN	2017-08-25	#abbyy	html	novela casi cosmopolita	heterodiegetic	male	big-city	prose	book	NaN	Europe	NaN	NaN	Sylvia Brums	adult	high	lord	realistic	mixed	mixed	mixed	mixed	NaN	contemporary	?	none	neutral	192?	medium	avantgarde	vanguardista	1901	1952	NaN	NaN	NaN	49	theatre	0.2	0.0	True	mixed	True	True	False	True	novela erótica	NaN	Humor	NaN	NaN	NaN	novela casi cosmopolita	novela casi cosmopolita	NaN	80454	471567	162	19	0	3773	1488	261	19063	4053	13	0	3	104	0	5	0	1746	2285	5855	604	24	32600.31	14810.54	30023.0	8600.0	4567	10568	16883	12910	3292	3490	9998	15482	6527	68	796	189	2261	397	758	214	3367	125.98	124.65	90.0	119.0	2.22	2.3	2.0	2.0	84792	NaN	NaN	NaN	NaN	71	1552	182	624	770	1013	320	3009	550	604	506	1820	2451	171	110	548	157	1184	52	1775	424	330	69	240	42	129	1081	218	824	760	307	28	680	290	152	85	173	25	625	382	321	319	676	58389	753	1920	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	low
ne0354	ne0354	Serna	Acueducto	1922	narrative	novela	fantastic	Spain	68929740.0	XX927011	male	El secreto del Acueducto	NaN	XX2499137	Ramón Gómez de la Serna	NaN	restricted	sentimental,fantastic	novela	NaN	2017-12-07	#abbyy	html	NaN	homodiegetic	male	small-city	prose	book	NaN	Europe	novelas de plenitud	Comienzos de la etapa de plenitud	Pablo	adult	high	lord	non-realistic	Europe	Spain	Segovía	Castilla	NaN	contemporary	NaN	none	?	19??	medium	avantgarde	4-modernista	1888	1963	NaN	NaN	NaN	38	essay	0.2	1920.0	True	Segovía	True	True	False	True	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	bucólica	44906	254645	30	6	0	1472	445	59	6881	1509	24	0	0	3	0	3	0	358	1027	2289	696	3	10868.21	5576.82	10398.5	8114.0	3068	8044	9988	7962	1973	2601	6759	6251	4156	29	143	20	520	232	260	76	1490	173.38	169.76	126.5	139.75	3.04	3.04	2.0	3.0	50994	NaN	NaN	NaN	NaN	54	532	188	325	398	395	231	2152	364	677	353	770	1866	54	108	316	62	742	21	1452	625	167	27	180	42	55	667	160	489	413	408	6	395	218	145	33	78	16	509	171	357	210	444	33610	509	1920	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low
ne0017	ne0017	Valle	FlordeSantidad	1904	narrative	novela	social	Spain	68936773.0	XX1055436	male	Flor de santidad	206861048	XX2215970	Valle-Inclán, Ramón del	Historia milenaria	free	fantastic,modernist,naturalist,sentimental,social,spiritual	novela		2014-09-06	#archive	pdf	historia	heterodiegetic	female	rural	prose	book		Europe			Adega	young	low	beggar	realistic	Europe	Spain	Brandeso	Galicia	modernista	modern_times	30	none	negative		high	modernism	2-modernista	1866	1936	high	high	elite	162	theatre	3.0	1920.0	True	Brandeso	True	True	True	True			Drama	Ficción clásica; Antigua y clásica ; Europea ; Español y Portugués, Literatura española, Ficción contemporánea;			historia	historia	bucólica	19489	113981	33	14	0	700	451	27	4290	746	26	0	5	0	0	1	4	451	249	1591	587	0	4521.12	1069.79	4394.5	1318.75	1169	3756	4842	3492	637	1361	2882	3927	1314	3	86	46	167	164	66	26	865	134.27	94.25	112.0	101.0	2.32	1.77	2.0	2.0	23515					64	248	85	96	134	186	76	613	99	170	199	584	860	11	74	128	41	273	33	386	219	40	45	99	23	16	456	254	175	350	235	2	213	86	37	22	33	0	180	56	145	83	272	15891	223	1900	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	high
ne0021	ne0021	Valle	ResplandorHoguera	1909	narrative	novela	historical	Spain	68936773.0	XX1055436	male	El resplandor de la hoguera	314167748	XX3384448	Valle-Inclán, Ramón del	La guerra carlista	free	adventure,realist,social,war-novel,historical	novela		2015-01-12	#archive	pdf		heterodiegetic	male	rural	prose	book		Europe	La guerra carlista		Cara de Plata	adult	medium	military personnel	realistic	Europe	Spain	Otaín	Navarra	modernista	contemporary	15	none	negative		high	modernism	2-modernista	1866	1936	high	high	elite	162	theatre	1.0	1920.0	True	Otaín	True	True	True	True			Aventuras	Ficción clásica, Ficción contemporánea; Ficción clásica					bucólica	25335	145911	25	16	0	1336	797	0	6372	1376	24	0	0	0	0	4	0	798	539	2494	482	0	6366.58	1357.2	6187.0	1370.0	1465	4815	6139	4779	988	1249	3656	5910	2138	6	136	79	529	79	112	16	1440	104.24	65.04	93.0	77.0	2.02	1.43	2.0	2.0	31360					27	425	69	139	219	227	106	935	108	124	283	1006	883	24	58	185	22	361	67	705	291	59	41	52	19	67	622	157	346	441	168	3	217	176	57	11	35	1	257	53	134	80	323	21476	301	1900	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	high
ne0038	ne0038	RBaroja	NaoCapitana	1935	narrative	novela	adventure	Spain	7427586.0		male	La nao «Capitana»		XX1879847	Ricardo Baroja	Cuento español del mar antiguo	restricted	historical,adventure	novela		2017-12-15	#abbyy	html	cuento	heterodiegetic	male	boat	prose	book		Europe	última etapa		Diego Ruiz de Arcaute	adult	medium	seaman	realistic	mixed	mixed	mixed	mixed		modern_times	?	none	?	17??	low	modernism	3-modernista	1871	1953	high	low		2	theatre	0.5	0.0	True	mixed	True	True	False	False	novela de aventuras			Ficción histórica, Ficción por género			cuento	cuento		54995	316922	45	133	0	2409	1317	12	12387	2547	40	0	0	1	0	21	0	1427	1092	3820	476	1	8205.22	8342.36	5979.5	6879.0	3247	9400	13388	10321	2533	2698	8166	11689	4672	5	295	172	1227	289	327	125	2464	131.36	108.79	104.5	111.0	2.36	2.25	2.0	2.0	66586					35	1054	83	303	618	553	248	2443	305	326	355	2065	1926	54	183	356	118	878	28	1605	457	127	56	236	67	114	1191	187	595	680	368	13	584	273	89	19	110	47	364	228	310	242	675	45374	643	1930	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	high
ne0068	ne0068	Baroja	ArbolCiencia	1911	narrative	novela	bildungsroman	Spain	36912891.0	XX842743	male	El árbol de la ciencia	174951407	XX1879767	Pío Baroja	La Raza (3)	restricted	modernist,philosophical,realist,sentimental,social,bildungsroman	novela		2015-07-22	#epublibre	epub		heterodiegetic	male	mixed	prose	book	2517	Europe	la raza		Andrés Hurtado	young	medium	doctor	realistic	Europe	Spain	mixed	mixed	modernista	contemporary	1825	medium	negative		high	modernism	3-modernista	1872	1956	high	high	elite	117	essay	6.0	1912.0	True	Spain	True	True	True	True		bildungsroman	Otros	Bibliotecas, Ficción clásica, Libros escolares; Ficción clásica, Acción y aventura, Ficción por género ; Literatura y ficción, Literatura y ficción; Historias cortas, Ficción contemporánea		Novela				63017	363627	66	0	0	2496	1118	0	12186	2556	53	0	7	5	0	0	0	1280	1378	4090	882	5	7100.28	2709.03	7099.0	3370.0	4314	10336	14389	11521	3242	3654	9123	12131	6076	109	288	124	1574	236	457	89	2867	129.41	92.45	109.0	102.0	2.46	1.98	2.0	2.0	75307					71	1317	219	377	923	689	384	3125	1033	502	651	2615	2656	53	109	563	181	1039	36	1496	420	294	33	130	54	77	933	189	694	353	244	41	630	576	241	117	204	21	788	271	264	290	439	49342	623	1910	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	high
