Filename	author-name	translation	author-gender	book-title	publ-year	publ-decade	publisher	collection		subgenre	group	brow	prizes
Jammet_Sylvie.txt	Jammet, Céline	no	female	Sylvie	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
Mequillet_Muriel.txt	Méquillet, Lise	no	female	Muriel	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
Mousset_Jane.txt	Mousset, Christiane	no	female	Jane	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
Roszel_Jardin.txt	Roszel, Renee	yes	female	Le jardin des amants	1991	1990s	Harlequin	Rouge Passion		sentimental	populaire	low	n/a
Stephens_Ciel.txt	Stephens, Jeanne	yes	female	Comme un ciel d'orage	1990	1990s	Harlequin	Duo Harmonie		sentimental	populaire	low	n/a
Tornielle_Lina.txt	Tornielle, Camille	no	female	Lina	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
vanWieren_Reves.txt	van Wieren, Mona	no	female	Les rêves d'une architecte	1989	1980s	Harlequin	Duo Romance		sentimental	populaire	low	n/a
Vasilos_Mystere.txt	Vasilos, Tina	yes	female	Le mystère Alexios Parris	1992	1990s	Harlequin	Collection Or		sentimental	populaire	low	n/a
Woods_Pluie.txt	Woods, Sherryl	yes	female	Pluie d'or	1990	1990s	Harlequin	Rouge Passion		sentimental	populaire	low	n/a
Glenn_Amour.txt	Glenn, Victoria	yes	female	Un amour de jeunesse	1990	1990s	Harlequin	Duo Romance		sentimental	populaire	low	n/a
BoileauNarcejac_Ombre.txt	Boileau, Pierre / Narcejac, Thomas	no	male	L'ombre et la proie	1984	1980s	Le Masque	Romans d'aventures		policier	populaire	low	n/a
Daeninckx_Der.txt	Daeninckx, Didier	no	male	Der Des Ders	1984	1980s	(unknown)	(unknown)		policier	populaire	low	n/a
Daeninckx_Facteur.txt	Daeninckx, Didier	no	male	Facteur Fatal	1990	1990s	(unknown)	(unknown)		policier	populaire	low	n/a
Guibert_Piano.txt	Guibert, Michel	no	male	Piano nobile	1981	1980s	Le Masque	Romans d'aventures		policier	populaire	low	n/a
Lebeau_Algebre.txt	Lebeau, Guillaume	no	male	L'Algèbre du besoin	1999	1990s	Le Masque	Romans d'aventures		policier	populaire	low	n/a
Manchette_Iris.txt	Manchette, Patrick	no	male	Iris	1997	1990s	(unknown)	(unknown)		policier	populaire	low	n/a
BatailleT_Valerie.txt	Bataille, Thierry	no	male	Valérie	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
Estebe_Laureen.txt	Estebe, Jean-Luc	no	male	Laureen	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
Forest_Chanson.txt	Forest, Regan	yes	male	La chanson du vent	1990	1990s	Harlequin	Duo Desir		sentimental	populaire	low	n/a
Ouravel_Sophie.txt	Ouravel, Boris	no	male	Sophie	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
Picard_Ingrid.txt	Picard, Gilbert	no	male	Ingrid	1987	1980s	Fleuve Noir	Femme Viva		sentimental	populaire	low	n/a
Win_Madison.txt	Win, David	yes	male	Madison Avenue	1989	1980s	Harlequin	Grands Romans		sentimental	populaire	low	n/a
