idno	author	author-gender	title	year	decade	subgenre	reputation	brow	worldcat_reprints_1970-2009	old-ids	notes
Rodenbach_BrugesLaMorte.txt	Rodenbach	male	BrugesLaMorte	1892	1890s	blanche	high	high	4 or more reprints		
Rodenbach_Carillonneur.txt	Rodenbach	male	Carillonneur	1897	1890s	blanche	high	low	0 reprints		
Boisgobey_Omnibus.txt	Boisgobey	male	Omnibus	1881	1880s	policier	high	low	0 reprints		
Boisgobey_DoubleBlanc.txt	Boisgobey	male	DoubleBlanc	1889	1880s	policier	low	high	1 reprint		
Boisgobey_MainFroide.txt	Boisgobey	male	MainFroide	1889	1880s	policier	low	low	0 reprints		
Fleuriot_Conge.txt	Fleuriot	female	Conge	1874	1870s	blanche	low	low	0 reprints		
Fleuriot_Alberte.txt	Fleuriot	female	Alberte	1881	1880s	blanche	low	low	0 reprints		
Gouraud_Quand.txt	Gouraud	female	Quand	1888	1880s	blanche	low	low	0 reprints		
Gouraud_Colporteur.txt	Gouraud	female	Colporteur	1867	1860s	blanche	low	low	0 reprints		
Gyp_Totote.txt	Gyp	female	Totote	1897	1890s	blanche	low	low	0 reprints		
